StudentID,StudentName,Course,City,AttendancePercent,Assignment1Score,Assignment2Score,ExamScore,StudyHoursPerWeek,ProjectSubmitted,EnrolmentDate
1053,Bethany White,Computing,Leeds,78.6,75.3,73,87.7,6.7,Yes,17/09/2024
1054,Poppy Baker,Digital Media,Liverpool,88.4,74.3,55.7,52.7,0.6,Yes,19/09/2024
1055,Chloe Baker,Computing,Liverpool,62,56.4,83.4,62.8,3.3,Yes,10/09/2024
1056,Alex Lewis,Business IT,Coventry,80.8,70,77.3,95.9,4.2,Yes,02/09/2024
1057,Alex White,Business IT,Nottingham,67.2,68.3,64.8,100,1.2,No,17/09/2024
1058,Daisy Hughes,IT,Nottingham,86.9,62.5,100,76.9,2.5,Yes,12/09/2024
1059,Thomas Young,Software Development,Leicester,87.3,59.4,85.7,75.7,3.3,Yes,03/09/2024
1060,Olivia Thompson,Cyber Security,London,70,87.6,69.2,70.6,6.7,Yes,19/09/2024
1061,Bradley Mitchell,Software Development,Leicester,85.4,56.7,69,53.7,4.6,No,09/09/2024
1062,Thomas Ward,Software Development,Birmingham,99.6,66.2,92.9,41.9,8.2,Yes,02/09/2024
1063,Sarah Clarke,Cyber Security,Nottingham,71.2,83.6,59.3,65.8,4.6,Yes,20/09/2024
1064,Jasmine Ward,Cyber Security,Cardiff,85.4,55.5,83.6,86.9,0.5,Yes,03/09/2024
1065,Bethany Martin,Computing,Nottingham,85.1,70.7,93.9,43.1,9,Yes,21/09/2024
1066,Yasmin Jones,Software Development,Leicester,87.7,65.7,52.1,72.6,4.8,Yes,22/09/2024
1067,Ben Lewis,Software Development,Leicester,77.6,64.3,77.1,80.2,7.4,Yes,13/09/2024
1068,Ella Collins,Computing,Coventry,80.8,82.4,59.9,71.8,10.6,Yes,16/09/2024
1069,Ruby Hall,Digital Media,Manchester,100,84,82.1,69.1,8.9,Yes,11/09/2024
1070,George Jones,Cyber Security,Coventry,75,64.3,89.8,96.1,5.9,Yes,02/09/2024
1071,Amelia Scott,Business IT,Liverpool,80.3,60.7,74.7,60.7,6,No,26/09/2024
1072,Alex Harris,Business IT,London,86.8,51.5,62.7,79.9,6.4,No,07/09/2024
1073,Liam Murphy,Cyber Security,Liverpool,83.1,61.2,78.2,55.7,6.7,Yes,05/09/2024
1074,Finley Thomas,Business IT,Cardiff,61.9,93,67.6,53.5,8.5,Yes,19/09/2024
1075,Harry Robinson,IT,Leicester,83.9,67.7,72.3,73.1,7.6,No,09/09/2024
1076,Jacob Smith,IT,Manchester,69.6,73.4,72.9,77,5.3,Yes,19/09/2024
1077,Daniel King,Digital Media,Nottingham,59.6,49.6,68.6,91.1,5.8,Yes,13/09/2024
1078,Leo Allen,IT,Leeds,90.7,100,,72.8,4.4,Yes,22/09/2024
1079,Grace Carter,Business IT,Leeds,96,,74.2,79.4,6.8,Yes,21/09/2024
1815,,Computing,Leicester,97.9,69.1,83.7,96.6,10.8,Yes,21/09/2024
1081,Molly Murphy,Computing,Birmingham,60.1,73.4,66.3,69.4,0.5,Yes,23/09/2024
1082,Amir Moore,Business IT,Cardiff,78.4,64.1,59.2,74.6,4.8,Yes,21/09/2024
1083,Jessica Jones,Software Development,Sheffield,75.4,84.8,52.7,80.6,7.9,No,19/09/2024
1084,Freya King,IT,Nottingham,89.6,53.1,83.5,65.4,7.2,Yes,06/09/2024
1085,Ava Begum,Cyber Security,Reading,77.6,46.3,57,63.5,3.3,Yes,13/09/2024
1086,Amelia Hall,Digital Media,Bristol,75.3,82.3,80.7,79.1,7.6,No,13/09/2024
1087,Finley Wright,Cyber Security,Sheffield,99.1,66.2,59,56.9,10.7,No,10/09/2024
1088,Kai Jackson,Computing,Manchester,83.2,58,67.1,82.5,7.9,Yes,25/09/2024
1089,Daisy Johnson,IT,Bristol,81.4,53.4,75.4,72.3,7.1,Yes,10/09/2024
1090,Molly Griffiths,Computing,Sheffield,91.7,80.4,80.3,65.6,8.8,Yes,23/09/2024
1091,Amir Adams,Computing,Leeds,81,48,70.5,76.9,2.8,Yes,19/09/2024
1092,Leo Baker,IT,Reading,79.2,72.4,72.6,94.5,3,Yes,20/09/2024
1093,Mia Ahmed,Software Development,Manchester,83.8,52.9,85.3,42.6,9.2,Yes,20/09/2024
1094,Kai Evans,IT,Manchester,90.2,86.3,79.8,61,5,No,13/09/2024
1095,George Brown,Computing,Leeds,81.9,76.6,72.3,64.5,8.5,Yes,20/09/2024
1096,Jessica Singh,IT,Nottingham,74.3,82.8,77.4,66.3,7.1,Yes,18/09/2024
1097,Lily Hall,Computing,Birmingham,69.2,59.8,57.2,74.1,6.6,Yes,20/09/2024
1098,Daniel Allen,Cyber Security,Bristol,56.4,75.4,71.4,67.6,4.8,Yes,16/09/2024
1099,Isla Jones,IT,Bristol,77.4,66.2,64.6,60.7,3.8,Yes,10/09/2024
1100,Daniel Hughes,Computing,Leicester,91.3,77.6,80.6,91.2,4.6,Yes,21/09/2024
1101,Joshua Young,Computing,Reading,87.6,51.3,66.2,54.3,3.8,Yes,13/09/2024
1102,Sarah Davies,Computing,Manchester,69.8,76.1,80.3,74,2.5,Yes,25/09/2024
1103,Callum Scott,IT,Manchester,86.1,88.1,53.7,48.7,5.2,Yes,25/09/2024
1104,Oscar Evans,Cyber Security,Liverpool,75.8,92.2,67.5,77.6,4.4,Yes,20/09/2024
1105,Logan Morris,Cyber Security,Manchester,87.1,48.7,77.9,78.1,2.2,Yes,05/09/2024
1106,Ava White,Computing,Nottingham,61.6,76.1,68.2,38.7,7.5,Yes,16/09/2024
1107,Maya Morris,IT,Cardiff,89.7,69.6,99.3,75.7,7.1,No,06/09/2024
1108,Cameron White,Digital Media,Nottingham,65.5,48.8,54.7,79.7,5.5,Yes,25/09/2024
1109,George Harris,Computing,Leeds,61.9,81.2,66.4,71.8,8,Yes,18/09/2024
1612,Sophia Walker,Computing,Nottingham,99.3,58.9,79,96.3,11.4,Yes,11/09/2024
1111,Abigail Jones,Software Development,London,58.6,42.4,72,72.5,5.8,No,22/09/2024
1112,Cameron Ali,IT,Bristol,69.2,73.1,65.1,72.8,2.7,Yes,22/09/2024
1113,Poppy Ali,IT,London,84.9,43.8,67.9,81.1,1.8,Yes,03/09/2024
1114,Amelia Smith,IT,Birmingham,91.1,74.3,59.8,57.8,6.8,No,12/09/2024
1115,Tyler Griffiths,Business IT,Reading,68.6,76.3,79.6,69.7,5,Yes,11/09/2024
1116,Olivia Jackson,Cyber Security,Reading,83.9,78.3,63.8,81.2,5.3,No,03/09/2024
1117,Daisy Ahmed,Computing,Coventry,73.8,57.4,78.2,77.3,3.9,No,03/09/2024
1118,Lily Martin,Business IT,Coventry,70.8,78.1,80.7,65.5,7.1,No,02/09/2024
1119,Brooke Green,Business IT,Reading,45,84.4,66.1,100,4.1,No,16/09/2024
1120,Jasmine Taylor,IT,Birmingham,79.3,59.8,68.9,67.5,6.6,Yes,24/09/2024
1121,Brooke Davies,Business IT,Leeds,79.6,67.1,61.1,65.5,6.3,Yes,04/09/2024
1122,Samuel Murphy,IT,Cardiff,65.9,72.3,67.8,89.8,4.7,Yes,23/09/2024
1123,Ella Williams,Software Development,Cardiff,56.9,69.5,79.1,55.2,4.8,No,09/09/2024
1124,Ava Green,Computing,Sheffield,85.2,67.2,88.6,65.3,4.6,Yes,20/09/2024
1125,Kai Roberts,Computing,London,100,85.5,73.2,59.1,6.1,Yes,02/09/2024
1126,Jacob Moore,IT,Leicester,92.9,58.1,79.3,66.9,4,Yes,16/09/2024
1127,Jasmine Walker,Software Development,Bristol,84.8,68.9,61.4,83.1,4.2,Yes,09/09/2024
1128,Molly Foster,Software Development,Manchester,90.2,81.8,46.2,68.4,3.8,Yes,18/09/2024
1129,Ben Khan,Cyber Security,Leeds,81.2,,85.3,75.1,7.9,Yes,19/09/2024
1130,Harry Walker,IT,Cardiff,68.2,61.2,81.1,61.7,4.6,Yes,04/09/2024
1131,Brooke Carter,Software Development,Cardiff,56.4,97.3,61.3,65.3,7.3,Yes,03/09/2024
1132,Ryan Murphy,Cyber Security,Coventry,90.8,75.6,67.9,81.1,4.4,Yes,21/09/2024
1133,Thomas Patel,Cyber Security,Coventry,72.8,92.7,59.8,85.4,8.5,No,25/09/2024
1134,Harry Smith,Business IT,Coventry,77.2,51.6,63,62.6,4.6,Yes,21/09/2024
1135,Grace Ali,Cyber Security,Reading,80.7,71.6,69.3,77.4,4.4,No,17/09/2024
1136,Cameron Murphy,Computing,Bristol,68.5,84.8,71.8,44.9,9.5,Yes,19/09/2024
1137,Harry Shah,Cyber Security,Leeds,77.3,80.8,100,55.7,5.8,Yes,17/09/2024
1138,Isaac Hall,Computing,Leicester,62,43.4,65.2,59.8,6.7,No,06/09/2024
1139,Layla Martin,Digital Media,Reading,71.7,71.1,44.9,62.2,4.9,Yes,20/09/2024
1140,Finley Singh,Computing,Birmingham,73.4,52.3,81.9,89.4,7.7,Yes,19/09/2024
1141,Ryan Moore,Digital Media,Liverpool,72.1,86.9,76.4,66.7,2.6,No,03/09/2024
1142,Dylan Ali,Software Development,Cardiff,72.9,,64.5,69.8,0.5,Yes,03/09/2024
1143,Joshua Hall,Cyber Security,Leicester,66.6,65.9,93.7,59.7,3.8,Yes,07/09/2024
1144,Aaron Ward,IT,Liverpool,80.4,50.1,63.7,82.4,9.5,No,15/09/2024
1145,Ella Carter,Cyber Security,Leeds,89.8,70.5,63.1,73.6,3.8,Yes,10/09/2024
1146,Brooke Mitchell,IT,Cardiff,91.8,58.5,47,88.3,2.6,Yes,22/09/2024
1147,Finley Carter,Cyber Security,Nottingham,78.8,52.3,58.9,78.9,2.4,Yes,08/09/2024
1148,Ava Murphy,Cyber Security,Reading,81.5,51.3,92.4,90,8.2,No,08/09/2024
1149,Tyler Martin,Computing,Leeds,76.4,55.3,82.5,61,6.5,Yes,20/09/2024
1150,Abigail Khan,IT,London,81,69.5,56.2,82.4,5.9,Yes,03/09/2024
1151,Aisha Hall,IT,Manchester,82,34.2,64.4,58.4,7.7,No,14/09/2024
1152,Zara Carter,Digital Media,Bristol,78.5,100,97.6,64.3,6.1,No,02/09/2024
1153,Zara Lewis,Cyber Security,Leeds,79.2,82,67.5,100,5.1,No,15/09/2024
1154,George Edwards,Computing,Coventry,73.7,87.2,75.4,68.7,4.6,No,14/09/2024
1155,Amir Carter,Cyber Security,Liverpool,81.4,98.8,58,61.5,5.9,Yes,06/09/2024
1156,Isaac Allen,Cyber Security,Coventry,58.9,90.8,53.9,59.6,3.5,Yes,13/09/2024
1157,Jasmine Thompson,IT,Manchester,76.8,77.9,63.3,67.5,6,Yes,16/09/2024
1158,William Carter,IT,Liverpool,100,75.4,88.6,94,3.1,Yes,25/09/2024
1159,Alex Baker,Computing,Coventry,76.7,53.6,48,73.6,2.3,Yes,08/09/2024
1160,Samuel Foster,Digital Media,Reading,100,78.1,97.6,47.1,4,Yes,19/09/2024
1161,Sienna Mitchell,Computing,Reading,58.3,,81.9,63.1,2.7,Yes,06/09/2024
1162,Molly Hall,Computing,Bristol,86.3,72.1,87.5,70.5,8.3,No,12/09/2024
1163,Sarah Mitchell,Computing,Bristol,87.5,88.1,45.3,72.3,2,Yes,03/09/2024
1164,Amelia White,Computing,Manchester,74.9,75.2,64.7,69.5,5,Yes,13/09/2024
1165,Samuel Taylor,Cyber Security,London,67.9,67.3,91.1,72.4,3.4,Yes,24/09/2024
1166,Blake Brown,Cyber Security,Leeds,77,75.7,85.7,74.4,3.6,Yes,13/09/2024
1167,Finley Harris,Digital Media,Birmingham,66.6,48.9,72.3,63.8,3.1,Yes,02/09/2024
1168,Joshua Roberts,Software Development,Birmingham,88.6,93,55.5,73.8,10.4,Yes,20/09/2024
1169,Isaac Patel,Cyber Security,London,88.2,92.9,80.1,70.9,8,No,04/09/2024
1281,Samuel Robinson,Computing,Leicester,95.4,51.1,83.7,96.2,8.1,Yes,05/09/2024
1171,Archie Hughes,Digital Media,Coventry,89.6,66.3,72.4,66.6,4.2,Yes,13/09/2024
1172,Logan Begum,Business IT,Liverpool,100,76.1,53.9,77.1,6,Yes,22/09/2024
1173,Ben Adams,Software Development,Nottingham,73.4,77.9,77.2,76.7,2.4,Yes,02/09/2024
1174,Aaron Hall,IT,Birmingham,83.4,67.4,56.8,80.4,5.2,Yes,23/09/2024
1175,Sienna Clarke,Computing,Cardiff,77.5,80.8,74.3,57,8.9,Yes,21/09/2024
1176,Maya Hughes,Business IT,Cardiff,73,73.9,61.9,56.9,9.1,No,21/09/2024
1177,Ethan Moore,IT,Cardiff,88,67.9,67.3,54.7,3.7,Yes,14/09/2024
1178,Zara Cooper,Digital Media,Sheffield,75.2,90.7,75.3,79,4.7,No,24/09/2024
1179,Sienna Carter,Digital Media,Leeds,78.9,77.5,61.7,76.3,2.2,Yes,19/09/2024
1180,Zara Ali,Business IT,Bristol,83.7,62.9,51.1,44.2,2.3,Yes,09/09/2024
1181,Alex Roberts,Software Development,Leicester,61.7,43,61.5,91.8,6.2,Yes,25/09/2024
1182,Oscar Johnson,IT,Leicester,82.1,57,64.5,68.2,5.7,Yes,15/09/2024
1183,Chloe Jackson,IT,Nottingham,81.9,54.6,68.9,75.2,4.8,Yes,03/09/2024
1184,Blake Thomas,Business IT,Reading,67.1,70.3,79.4,79.6,7.9,No,09/09/2024
1185,Oliver Khan,Computing,Coventry,87.9,60.5,71,70.6,5.7,Yes,04/09/2024
1186,Liam Hill,Computing,Birmingham,87.7,68,95.8,50.3,4.7,Yes,21/09/2024
1187,Poppy Shah,Computing,Leicester,76.5,59.5,68.2,66.1,6.1,Yes,07/09/2024
1188,Cameron Roberts,IT,Manchester,83.1,53.9,73.2,98.3,2.6,Yes,07/09/2024
1189,Oscar Shah,Computing,Bristol,91.1,65.5,76,83,2.1,Yes,17/09/2024
1190,Ava Roberts,Computing,Leeds,73,67.3,81.3,61.7,5,Yes,25/09/2024
1191,Bradley Griffiths,Business IT,Bristol,61.1,64.3,72.8,54.9,5.8,No,22/09/2024
1192,Oscar Green,IT,Birmingham,90.3,31.5,86.3,71.7,3.6,No,20/09/2024
1193,Noah Collins,Digital Media,Leeds,86.7,48.3,58.6,62.6,4.1,No,11/09/2024
1194,Bethany Carter,Software Development,Cardiff,75.2,100,53.7,74.9,4.4,No,09/09/2024
1195,Maya Morgan,Computing,Leicester,77.7,83.4,55.8,75.9,6.1,Yes,10/09/2024
1196,Sarah Hill,Digital Media,Reading,75.7,99,89.7,55.7,2.5,No,19/09/2024
1197,Sienna Griffiths,IT,Liverpool,71.4,84.5,59.3,63.5,3.3,Yes,05/09/2024
1198,Daisy Martin,Cyber Security,Cardiff,92.9,75.9,89.5,83.7,7.9,Yes,10/09/2024
1199,David Allen,IT,,76.2,48.4,67.3,72.6,6.7,Yes,20/09/2024
1037,Dami of course,Computing,Gloucester,97,94,96,98,9.5,Yes,12/09/2024
1200,Kai Young,Computing,Cardiff,83.3,64.9,59.2,70.8,6.3,No,05/09/2024
1201,Cameron Smith,Software Development,Manchester,91.9,77,66.5,64.6,4.3,No,15/09/2024
1202,Brooke Robinson,Business IT,Bristol,85.1,81,69.6,77.2,6.8,Yes,19/09/2024
1203,Adam Taylor,Software Development,Leeds,66,68.3,71.9,58.3,10.1,No,17/09/2024
1204,Archie Murphy,Software Development,London,86.9,100,69.7,88.8,8.8,Yes,13/09/2024
1205,Archie Ahmed,Digital Media,London,78.8,73.7,91.7,79.2,1.9,Yes,15/09/2024
1206,Yasmin Shah,Computing,Birmingham,78.4,64.3,85.4,77.4,9.5,Yes,14/09/2024
1207,Anaya Harris,Digital Media,Reading,86.8,67.2,72.9,100,7.8,Yes,23/09/2024
1208,Cameron Thompson,Computing,Nottingham,89.1,85.1,67.8,74.6,1.5,Yes,06/09/2024
1209,Brooke Williams,Software Development,Bristol,82.1,60.3,89.4,78.6,4.4,Yes,13/09/2024
1210,Daisy Green,Business IT,Coventry,77,67,66.7,69.9,5.1,No,02/09/2024
1211,Daniel Cooper,Software Development,London,56,60.6,71.3,55.4,4.2,No,10/09/2024
1212,Amelia Cooper,Computing,,89.3,100,68.5,84.2,6.4,Yes,11/09/2024
1213,Ethan Hall,Cyber Security,,78.5,60.3,50.3,97.5,9.5,No,19/09/2024
1214,Mohammed Ahmed,Computing,Bristol,78.7,56.9,58.1,82.6,5.4,No,14/09/2024
1215,William Foster,IT,London,85,68.8,71.3,74.1,5.8,Yes,13/09/2024
1216,Sophia Carter,Digital Media,Cardiff,100,85,79,36.8,7.8,Yes,10/09/2024
1217,Jessica Hill,Cyber Security,Leeds,85.6,74,75,51.8,6.1,Yes,15/09/2024
1218,Oscar Harris,Cyber Security,Birmingham,84.5,89.9,83.7,62.7,8.8,Yes,08/09/2024
1219,Grace Jackson,IT,London,75.2,60.9,75,69.8,3.1,No,09/09/2024
1220,Brooke Adams,Computing,Leeds,85.8,86.5,88.4,56.3,7.7,Yes,20/09/2024
1221,Anaya Davies,Software Development,Nottingham,80.8,64.7,84.5,49.1,9.4,Yes,20/09/2024
1222,Noah Cooper,IT,Manchester,97.3,67.8,84.9,81.5,8,Yes,22/09/2024
1223,Amir Begum,IT,Manchester,65.2,79.1,74.7,59.9,8.3,Yes,14/09/2024
1224,Sarah Jackson,Software Development,Sheffield,78.5,65.5,80.6,88.6,5.8,Yes,26/09/2024
1225,Leo Williams,Digital Media,Leeds,84,69,66.8,60.8,7.5,Yes,09/09/2024
1226,Dylan Cooper,Computing,Bristol,56.5,77,54.6,72.9,5,Yes,20/09/2024
1227,Sienna Patel,IT,Nottingham,82.6,71,70.1,68.3,3.2,Yes,06/09/2024
1228,Jessica Allen,Computing,Coventry,80.4,68,65.6,83.1,7.2,Yes,04/09/2024
1229,Bethany Hughes,IT,Manchester,96.7,66.8,56.2,77.7,3.2,Yes,19/09/2024
1230,Finley Taylor,Digital Media,Manchester,79.8,54.7,85.5,67.6,6.7,Yes,24/09/2024
1231,Aisha Cooper,Digital Media,Coventry,81.6,86.5,78.1,67,5.2,No,07/09/2024
1232,Joshua Martin,Computing,Leeds,70.9,70,76.5,69.7,6.4,Yes,14/09/2024
1233,Mohammed Morgan,Software Development,Bristol,74.1,68.3,48.2,73.6,3.2,Yes,04/09/2024
1234,Harry Brown,Computing,Manchester,65.4,75.9,67.4,99.8,7.9,No,12/09/2024
1235,Adam Lewis,Software Development,Manchester,69.8,61.3,82.2,74.1,7.7,Yes,25/09/2024
1236,Bethany Allen,IT,Sheffield,77.2,74,66.1,60.5,7.2,Yes,23/09/2024
1237,Eva Collins,Digital Media,Birmingham,73.6,71.1,74.9,54.6,6.8,Yes,14/09/2024
1238,Oscar Ali,IT,Nottingham,73.7,67.9,94.8,62.6,4.8,Yes,05/09/2024
1239,Freya Phillips,Computing,Cardiff,83.8,57.7,48.5,63.8,0.5,Yes,04/09/2024
1240,Tyler Wright,Cyber Security,Coventry,82.6,89.1,95.4,37.6,7.1,Yes,08/09/2024
1241,Oliver Davies,Software Development,Leicester,87.9,84,63.8,90.4,5.7,Yes,19/09/2024
1242,Aaron Wilson,Digital Media,Coventry,74.6,56.6,70.2,63.2,6,Yes,26/09/2024
1243,Bethany Wilson,IT,Sheffield,95.5,51.8,70.4,90.3,2.9,Yes,14/09/2024
1244,Aisha Khan,Software Development,Bristol,73.6,68.5,68.4,59.1,5.6,Yes,12/09/2024
1245,Sarah Thompson,Digital Media,Leeds,98.8,96.3,51,79.2,5,Yes,08/09/2024
1246,Sarah White,Cyber Security,Bristol,90.3,76.8,59,76.5,7,Yes,06/09/2024
1247,Dylan Davies,Software Development,Leeds,83.3,61.6,46.2,78.5,4.8,No,18/09/2024
1248,George Johnson,Cyber Security,Nottingham,70.6,81.6,93.8,58.9,4.1,Yes,10/09/2024
1249,Lucas Allen,Computing,Coventry,80.4,61.1,73.5,79.8,6.2,Yes,26/09/2024
1250,Callum Smith,Computing,London,94.4,72.9,88.2,90.7,4,Yes,10/09/2024
1251,Hannah Edwards,Cyber Security,Leicester,63.8,67.7,70.7,69.1,11.6,No,19/09/2024
1252,Blake Moore,Computing,Liverpool,78.9,53.6,53.6,68.5,9.1,No,11/09/2024
1253,Amir Wright,Business IT,Coventry,71,76.5,73.7,72.4,3.3,No,14/09/2024
1254,Emily Hughes,Business IT,Leeds,79.2,62.8,56.2,37.1,6.2,Yes,11/09/2024
1391,Yasmin Ahmed,Computing,Leicester,91.5,95.2,73.3,96,9.7,Yes,14/09/2024
1256,Joshua Johnson,IT,Liverpool,71.3,63.7,73.4,88.7,6.4,Yes,21/09/2024
1257,Logan Murphy,IT,London,83.3,64.6,83,69.4,10.4,No,06/09/2024
1258,Sarah Hughes,Digital Media,Manchester,77.1,68.3,75.8,60.8,5.8,No,20/09/2024
1259,Ben Carter,Digital Media,Leicester,68.5,75.9,70.9,70.2,1.5,No,12/09/2024
1260,Aaliyah Singh,Business IT,Leeds,75.2,65.8,61.7,79.5,7,Yes,07/09/2024
1261,Poppy Walker,Cyber Security,Sheffield,66.9,,83,69.6,7.1,Yes,14/09/2024
1262,Fatima Walker,Computing,Sheffield,73,76.1,82,67.7,4.8,No,10/09/2024
1263,Amelia Taylor,Computing,London,84.2,71.9,66.2,72.5,5.2,Yes,23/09/2024
1264,Cameron King,Business IT,Birmingham,96.1,52,70.8,65,9.4,Yes,21/09/2024
1265,Ethan Jackson,Digital Media,Liverpool,86.4,83.9,87.5,58.6,3.6,Yes,04/09/2024
1266,Daniel Begum,Business IT,Birmingham,80,69,66.5,69.6,7,No,11/09/2024
1267,Alex Hall,IT,Leicester,72.1,89.7,88.7,83.3,9.8,Yes,07/09/2024
1268,Imogen Walker,Computing,Bristol,85.1,75.4,83.1,80.8,4.9,Yes,17/09/2024
1269,Bradley Carter,Digital Media,London,100,67.1,93,88.7,2.2,Yes,21/09/2024
1270,Callum Moore,Software Development,Birmingham,80.6,80.7,63.6,88.8,6.7,Yes,23/09/2024
1271,Kai Murphy,Cyber Security,,70.4,60.6,70,54.1,3.5,Yes,19/09/2024
1272,Daisy Morris,Business IT,Nottingham,65.5,73.5,68.5,59.6,5.4,No,03/09/2024
1273,George Begum,Cyber Security,Coventry,58.5,78.2,66.3,72.3,1.8,Yes,15/09/2024
1274,Jacob Morris,Cyber Security,Leicester,79.3,54.9,46.1,66.9,5.9,Yes,16/09/2024
1275,Liam Turner,Cyber Security,Birmingham,79.5,60.8,59.7,92.1,7.2,Yes,24/09/2024
1276,Mohammed Brown,IT,Leeds,77,81.5,97.6,57.9,7,No,24/09/2024
1277,Oscar Mitchell,Digital Media,Sheffield,87.6,81.4,68.3,69.2,9.5,Yes,18/09/2024
1278,Dylan Walker,Business IT,Birmingham,70.7,56.6,82.6,82.3,3.4,Yes,21/09/2024
